start;measure
1.258390023;1
3.291836735;2
5.338775510;3
7.297959184;4
9.389092971;5
11.245532880;6
13.392562358;7
15.787755102;8
17.763265306;9
19.849569161;10
21.953492063;11
24.026077098;12
26.032222222;13
28.052426304;14
30.142721088;15
32.253287982;16
34.313809524;17
36.418321995;18
38.416326531;19
40.561836735;20
42.582766440;21
44.810022676;22
47.020408163;23
48.999115646;24
50.995079365;25
53.172970522;26
55.245238095;27
57.321043084;28
59.373401361;29
61.474195011;30
63.632063492;31
65.763265306;32
68.087165533;33
70.099160998;34
72.175260771;35
74.280204082;36
76.424875283;37
78.448979592;38
80.625918367;39
83.021111111;40
84.996621315;41
87.082925170;42
89.186848072;43
91.259433107;44
93.265578231;45
95.285782313;46
97.376077097;47
99.486643991;48
101.547165533;49
103.651678004;50
105.649682540;51
107.795192744;52
109.816122449;53
112.043378685;54
114.253764172;55
116.232471655;56
118.228435374;57
120.406326531;58
122.478594104;59
124.554399093;60
126.606757370;61
128.707551020;62
130.865419501;63
132.996621315;64
135.320521542;65
137.332517007;66
139.408616780;67
141.513560091;68
143.658231292;69
145.682335601;70
147.859274376;71
150.155804989;72
152.294580499;73
154.471746032;74
156.499319728;75
158.710907029;76
160.750680272;77
162.861814059;78
164.896938775;79
167.063083900;80
169.099841270;81
171.297165533;82
173.364852608;83
175.442653061;84
177.543854875;85
179.804784580;86
181.968367347;87
183.990816326;88
185.901337868;89
188.066009070;90
190.155804989;91
192.212925170;92
194.397528345;93
196.590566893;94
198.763197279;95
200.952403628;96
203.558163265;97
205.755510204;98
207.885056689;99
210.153015873;100
212.408866213;101
214.498662131;102
217.159886621;103
220.114988662;104
222.743560091;105
225.323492063;106
227.895895692;107
230.457346939;108
232.807913832;109
235.361088435;110
237.763968254;111
240.257233560;112
242.678253968;113
245.253446712;114
247.690498866;115
249.990793651;116
252.294580499;117
254.792539682;118
257.600702948;119
259.858911565;120
262.018526077;121
264.422811791;122
266.727233560;123
268.932879819;124
271.494580499;125
273.824920635;126
276.080340136;127
278.455328798;128
281.078253968;129
284.088344671;130
288.229274376;131
290.552675737;132
292.784376417;133
295.137551020;134
297.670226757;135
300.605079365;136
304.033356009;137
305.682335601;137.500
