start;measure
0.657142857;0.750
1.261224490;1
3.811995465;2
6.478208617;3
8.902448980;4
11.442630385;5
13.918027211;6
16.367346939;7
19.041972789;8
21.505918367;9
24.183877551;10
26.639727891;11
29.238730159;12
31.820408163;13
34.384172336;14
36.804965986;15
39.299637188;16
41.861814059;17
44.206099773;18
46.573197279;19
48.831360544;20
51.138775510;21
53.457142857;22
55.865306122;23
58.434920635;24
60.853038549;25
63.231043084;26
65.575510204;27
68.260861678;28
70.538775510;29
73.001224490;30
75.459365079;31
77.864625850;32
80.251609977;33
82.706598639;34
84.950113379;35
87.241882086;36
89.579591837;37
92.055782313;38
94.629183673;39
97.412426304;40
99.912448980;41
102.319365079;42
104.697687075;43
107.237800454;44
109.576643991;45
111.832653061;46
114.229682540;47
116.653061224;48
119.360204082;49
121.739160998;50
124.376077098;51
126.755102041;52
129.375510204;53
132.086190476;54
135.142857143;55
136.930612245;55.500
